percent_less_than_25,5.0,10.0,15.0,20.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
overseas_error_code,wrong country,not available,reset phone,unauthorized,service not available,no service,,,,,,,,,,,,,,,,,,,,,,,,
info_receipt_type,download,delete,both,,,,,,,,,,,,,,,,,,,,,,,,,,,
quality,good,fair,like new,poor,damaged,used,,,,,,,,,,,,,,,,,,,,,,,,
breakage,damage,tearing,not connecting,,,,,,,,,,,,,,,,,,,,,,,,,,,
handset_feature,long battery life,a good camera,plenty of storage space,crystal-clear display,NFC,wireless charging,a fingerprint sensor,multiple windows,roaming,Bluetooth,SIM-card capability,,,,,,,,,,,,,,,,,,,
exchange_new,exchange,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mortgage_company,Quicken Loans,United Wholesale Mortgage,Wells Fargo,JPMorgan Chase,Fairway Independent Mortgage,loanDepot,Caliber Home Loans,Bank of America,Freedom Mortgage,US Bank,,,,,,,,,,,,,,,,,,,,
notification_frequency,hourly,daily,weekly,monthly,,,,,,,,,,,,,,,,,,,,,,,,,,
investment_frequency,daily,weekly,monthly,bi-monthly,,,,,,,,,,,,,,,,,,,,,,,,,,
internet_service,dial-up,broadband,fibre,DSL,,,,,,,,,,,,,,,,,,,,,,,,,,
consistent_throttled,consistent,throttled,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhz,800MHz,900MHz,1400MHz,1800MHz,2100MHz,2300MHz,2600MHz,2600MHz,3400MHz,,,,,,,,,,,,,,,,,,,,,
tax_form_type,1040,W-2,W-4,1099,1098,1095,,,,,,,,,,,,,,,,,,,,,,,,
state_number,64634832.0,946513.0,564894.0,468486.0,4848484.0,56488765.0,,,,,,,,,,,,,,,,,,,,,,,,
dividend_programs,Cincinnati Financial,3M Company,Johnson & Johnson,Exxon Mobil,Hormel Foods,Sherwin-Williams,,,,,,,,,,,,,,,,,,,,,,,,
relationship,parent,child,spouse,,,,,,,,,,,,,,,,,,,,,,,,,,,
info_reciept_type,download,delete,both,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopay_paperless,autopay,paperless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rating_type,G,PG13,PG,R,,,,,,,,,,,,,,,,,,,,,,,,,,
cable_type,hdmi,dvi,vga,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio_quality_preference,low,medium,high,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_portion,modem,phone,internet,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_of_day,morning,afternoon,evening,night,early,late,,,,,,,,,,,,,,,,,,,,,,,,
internet_connection_defect,no service,slow,disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,
remote_status,on,off,blinking,,,,,,,,,,,,,,,,,,,,,,,,,,,
property_status,rent,own,lease,sublet,,,,,,,,,,,,,,,,,,,,,,,,,,
sms_phonecall,sms,phone call,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sound_mode,standard,amplify,optimized,,,,,,,,,,,,,,,,,,,,,,,,,,,
deletedata_wait,delete data,wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_plan,full,payment plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modem_model,wgr614v9sp,wxr234v91tp,wuw456v8rp,wlk728v8sp,whw03,whw05,whw07,,,,,,,,,,,,,,,,,,,,,,,
hotspot_connection,wifi,bluetooth,usb,,,,,,,,,,,,,,,,,,,,,,,,,,,
vpn_provider,ExpressVPN,Surfshark,NordVPN,ProtonVPN,IPVanish,,,,,,,,,,,,,,,,,,,,,,,,,
regulatory_body,the FCC,FTC,CPSC,EPA,IC3,USPIS,,,,,,,,,,,,,,,,,,,,,,,,
router_id,192.0.2.1,20.03.6.8,39.26.23.4,10.3.4.3,02.02.02.02,7.8.7.11,98.32.56.01,01.34.78.01,77.22.14.06,08.06.14.06,,,,,,,,,,,,,,,,,,,,
school,University of Georgia,University of Michigan,Stanford University,Duke,UNC Charlotte,Princton,The University of Chicago,Georgia Tech,UCLA,University of Tennessee,Auburn,Texas A&M,Miami International,Oregon State,,,,,,,,,,,,,,,,
actor_first,Jennifer,John,Alvaro,Bryan,Andrew,Rege-Jean,Kirsten,Sofia,Emilia,,,,,,,,,,,,,,,,,,,,,
actor_last,Aniston,Krasinski,Morte,Cranston,Lincoln,Page,Bell,Vergara,Clarke,,,,,,,,,,,,,,,,,,,,,
series_title,Friends,The Office,Money Heist,Breaking Bad,the walking dead,bridgerton,the good place,modern family,game of thrones,,,,,,,,,,,,,,,,,,,,,
sport_event,world cup final,superbowl,premier league match,NBA final,Tour de France,Wimbeldon semi final,the masters,champions league final,winter olympics,summer olympics,,,,,,,,,,,,,,,,,,,,
sport_type,soccer,football,tennis,basketball,cricket,volleyball,baseball,rugby,hockey,golf,swimming,gymnastics,track,ski,snowboard,,,,,,,,,,,,,,,
sport_team,Lakers,Cowboys,Yankees,Warriors,Knicks,Saints,Patriots,Barcelona,Real Madrid,Chelsea,Manchester United,Liverpool,Mets,Giants,Chicago Bears,Dodgers,Red Sox,,,,,,,,,,,,,
smart_tv_brand,Samsung,LG,Vizio,Insignia,TCL,Sony,westinghouse,Toshiba,,,,,,,,,,,,,,,,,,,,,,
port_type,USB-A,USB-C,USB 2.0,USB 3.0,HDMI,Ethernet,Micro USB,Mini USB,Lightning,USB Type B,USB Type A,USB Micro B Super speed,USB Mini A,USB Mini B,USB Micro A,USB Micro B,,,,,,,,,,,,,,
dongle_type,TP-Link USB to Ethernet Adapter (UE300),Amazon Basics USB 3.0 to 10/100/1000 Gigabit Ethernet Internet Adapter,uni RJ45 to USB C Thunderbolt 3/Type-C Gigabit Ethernet LAN Network Adapter,UGREEN Ethernet Adapter USB 2.0 to 10/100 Network RJ45 LAN Wired Adapter,"QGeeM USB Ethernet Adapter,USB 3.0 to 10/100/1000 Gigabit Ethernet LAN Network Adapter",,,,,,,,,,,,,,,,,,,,,,,,,
tv_model,"TCL 32"" 3-Series 720p Roku Smart TV",Insignia NS-32DF310NA19 32-inch Smart HD TV,"TCL 4K Smart LED TV 43""",SAMSUNG 43-inch Class Crystal UHD TU-8000 Series - 4K UHD HDR Smart TV,Toshiba TF-32A710U21 32-inch Smart HD TV,LG Electronics 24LM530S-PU 24-Inch HD webOS 3.5 Smart TV,Hisense 32-Inch 32H5500F Class H55 Series Android Smart TV,Sony X750H 55-inch 4K Ultra HD LED TV,,,,,,,,,,,,,,,,,,,,,,
podcast,The Bible in a Year,The Daily,Crime Junkie,Graham Allen's Dear America Podcast,The Dan Bongino Show,The Ben Shapiro Show,Dateline NBC,Morbid: A True Crime Podcast,Up First,This American Life,,,,,,,,,,,,,,,,,,,,
podcast_channel,The Bible in a Year,The Daily,Crime Junkie,Graham Allen's Dear America Podcast,The Dan Bongino Show,The Ben Shapiro Show,Dateline NBC,Morbid: A True Crime Podcast,Up First,This American Life,,,,,,,,,,,,,,,,,,,,
podcast_episode,Who is Gerri?,A Live Studio Audience,Oh No...,What Came Before,Dynasties #5 – The Sahotas,Out of the Woods,Herland: Reimagining Utopia,Battlelines,,,,,,,,,,,,,,,,,,,,,,
phone_type,Samsung Galaxy S10 Plus,iPhone 11,Google Pixel 5,Galaxy Note 8,Google Pixel XL,,,,,,,,,,,,,,,,,,,,,,,,,
phone_plan,Basic,Unlimited,Family Plan,Prepaid,Connect,,,,,,,,,,,,,,,,,,,,,,,,,
generic_service_plan,Basic,Premium,Unlimited,Flex,Flex Plus,,,,,,,,,,,,,,,,,,,,,,,,,
tv_cable_plan,Basic,TVStarter,Sparklight,Ultimate All-Included,America's Top 100,TestDrive,YouTube TV,,,,,,,,,,,,,,,,,,,,,,,
cable_plan,Basic,TVStarter,Sparklight,Ultimate All-Included,America's Top 100,TestDrive,YouTube TV,,,,,,,,,,,,,,,,,,,,,,,
tv_provider,DISH,DIRECTV,Xfinity,Spectrum,Cox,Verizon Fios TV,YouTube TV,Hulu+ Live TV,SlingTV,fuboTV,,,,,,,,,,,,,,,,,,,,
mobile_provider,T-Mobile,Verizon,AT&T,Visible,Metro,Google Fi,Mint Mobile,Boost Mobile,Xfinity Mobile,Cricket Wireless,,,,,,,,,,,,,,,,,,,,
voip_plan,grasshopper,dialpad,OnSIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
news_channel,CNN,MSNBC,Fox news,NBC,NPR,ABC,local news,,,,,,,,,,,,,,,,,,,,,,,
safety_feature,DDoS,DoS attacks,phishing,SQL injection,MitM,password attack,eavesdropping attack,,,,,,,,,,,,,,,,,,,,,,,
business_demographic,adults,people over 60,retired people,men,woman,nonbinary folks,teenagers,married couples,,,,,,,,,,,,,,,,,,,,,,
cable_box_model,PaceXG1v1,RNG15ON,Arris DCX,Motorola DCT,,,,,,,,,,,,,,,,,,,,,,,,,,
channel,TLC,AMC,HGTV,MTV,VH1,Bravo,Lifetime,Discovery,TVLand,,,,,,,,,,,,,,,,,,,,,
restricted_channel,HBO,PPV,Showtime,Fox News,,,,,,,,,,,,,,,,,,,,,,,,,,
cord_type,coaxial cable,wireless,fiber,twisted pair,,,,,,,,,,,,,,,,,,,,,,,,,,
charger_type,Micro-USB type B,Mini-USB type B,iOS 8-Pin,USB type C,,,,,,,,,,,,,,,,,,,,,,,,,,
charity,One Acre Fund,OxFam,Seva,SCI Foundation,New Incentives,Fred Hollows Foundation,Against Malaria Foundation,,,,,,,,,,,,,,,,,,,,,,,
computer_model,Aspire 5,Flex 5,MacBook Air,IdeaPad 3,Predator Helios 300,MacBook Pro,L210,Pavilion 15,,,,,,,,,,,,,,,,,,,,,,
electronic_brand,Sony,Toshiba,Panasonic,Samsung,LG,Microsoft,Intel,Apple,,,,,,,,,,,,,,,,,,,,,,
streaming_device_brand,Fire TV Cube,Fire TV Stick,Chromecast,Apple TV,Roku,,,,,,,,,,,,,,,,,,,,,,,,,
streaming_device_model,Express,Ultra,Streambar,4K,A1842,,,,,,,,,,,,,,,,,,,,,,,,,
generic_device_model,ProLiant ML350,UCSC-C480-M5ML8,PowerEdge R830,UCS C240 M4,PowerEdge R710,,,,,,,,,,,,,,,,,,,,,,,,,
alphanum_serial,XKW50042525009,MT311618083,DFQ2810485376,EOSL79878442755,FB456435564355,,,,,,,,,,,,,,,,,,,,,,,,,
number_serial,EWH654851565624,RNL54658556691,DN89746516886,FR8498984989,HY798054654,,,,,,,,,,,,,,,,,,,,,,,,,
device_type,phone,tv,cellphone,smart tv,,,,,,,,,,,,,,,,,,,,,,,,,,
tv_device,laptop,computer,tablet,ipad,phone,iphone,smartphone,,,,,,,,,,,,,,,,,,,,,,,
remote_devices,tv,cable box,dongle,,,,,,,,,,,,,,,,,,,,,,,,,,,
file_drive,external harddrive,laptop,computer,cellphone,,,,,,,,,,,,,,,,,,,,,,,,,,
music_genre,hip hop,rap,soul,R & B,pop,rock,blues,jazz,kpop,classical,,,,,,,,,,,,,,,,,,,,
movie_genre,drama,comedy,action,horror,romance,romantic comedy,science fiction,animation,documentary,western,,,,,,,,,,,,,,,,,,,,
movie_name,National Lampoon's Christmas Vacation,Mud,Her,The Irishman,Dolemite Is My Name,Homecoming,Silver Linings Playbook,Gaga: Five Foot Two,A Little Chaos,I Feel Pretty,Rushmore,Roma,,,,,,,,,,,,,,,,,,
album_name,ALICIA,All Love Everything,The Flying Club Cup,Lemonade,Migration,Everything is Love,Chromatica,In Rainbows,A Seat at the Table,Folklore,,,,,,,,,,,,,,,,,,,,
extender,TP-Link,Netgear Nighthawk,D-Link,Linkskys,Trendnet Everywhere,,,,,,,,,,,,,,,,,,,,,,,,,
os,Android OS,Blackberry OS,iPhone OS,Meego OS,,,,,,,,,,,,,,,,,,,,,,,,,,
international_streaming_plan,Sling,FuboTV,AT&T TV Now,BritBox,,,,,,,,,,,,,,,,,,,,,,,,,,
folder,inbox,outbox,sent,spam,deleted,,,,,,,,,,,,,,,,,,,,,,,,,
firewall,Barracuda,Firewalla,Sophos,Comodo,Cisco,,,,,,,,,,,,,,,,,,,,,,,,,
speaker_brand,DOSS,Bose,JBL,Klipsch,Focal,Quested,Dynaudio,,,,,,,,,,,,,,,,,,,,,,,
handset_brand,Avaya,Nortel,AT&T,Toshiba,Meridian,,,,,,,,,,,,,,,,,,,,,,,,,
game_model,Wii U,PlayStation 4,Xbox One,Nintendo Swtich,Nintendo Wii,,,,,,,,,,,,,,,,,,,,,,,,,
game_brand,Sony,Microsoft,Nintendo,,,,,,,,,,,,,,,,,,,,,,,,,,,
tv_package,DirecTV Ultimate,DISH America's Top 200,Spectrum TV Gold,AT&T TV Ultimate,Hulu + Live TV,,,,,,,,,,,,,,,,,,,,,,,,,
dvr_manufacturer,Appro,Bosch,Fuji,Meyertech,OPTEX,Panasonic,Tomohawk,,,,,,,,,,,,,,,,,,,,,,,
generic_brand,Wendy's,Target,Uber,Taco Bell,Keurig,Yeti,,,,,,,,,,,,,,,,,,,,,,,,
net_speed,12 Mbps,15 Mbps,20 Mbps,25 Mbps,5 Mbps,,,,,,,,,,,,,,,,,,,,,,,,,
internet_plan,AT&T Internet 1000,Xfinity Extreme Pro,Spectrum Internet Gig,CenturyLink Fiber Gigabit,Verizon Fios Gigabit,Cox Gigablast,,,,,,,,,,,,,,,,,,,,,,,,
operating_system,Windows 10,Windows,Mac OS X,macOS Big Sur,Windows 8,Android,Linux,Ubuntu,,,,,,,,,,,,,,,,,,,,,,
auth_type,PIN,password,swipe,fingerprint,facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,
security_software,Kaspersky,Norton,McAfee,Bitdefender,Sophos,Webroot,,,,,,,,,,,,,,,,,,,,,,,,
mascot,Wolves,Trojans,Tigers,Devils,Dragons,Mustangs,Eagles,Hawks,,,,,,,,,,,,,,,,,,,,,,
pos,Toast,TouchBistro,Vend,Lightspeed,,Octopus,,,,,,,,,,,,,,,,,,,,,,,,
playlist_name,Christmas Tunes,Keyscapes,Alicia All Day,Feelin' Myself,Your Favorite Coffehouse,Songs to Sing in the Shower,Are and Be,,,,,,,,,,,,,,,,,,,,,,,
tv_show,The FilmFare Awards,The Grammies,Parks and Rec,How I Met Your Mother,The Walking Dead,RuPaul's Drag Race,The Real Housewives of Atlanta,,,,,,,,,,,,,,,,,,,,,,,
browser,Google,Firefox,Safari,Opera,,,,,,,,,,,,,,,,,,,,,,,,,,
new_refurb,new,reburbished,,,,,,,,,,,,,,,,,,,,,,,,,,,,
online_person,online,in person,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickup_delivery,pick up,delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
residential_commericial,residential,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shipping_speed,one-day,priority,economy,standard,2-day,,,,,,,,,,,,,,,,,,,,,,,,,
state_federal,state,federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rating,user rating,reviewer rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onetime_permanent,one time,permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
room_type,living room,bedroom,family room,kitchen,den,office,guest room,breakfast nook,basement,third floor,attic,,,,,,,,,,,,,,,,,,,
day_period,morning,afternoon,evening,,,,,,,,,,,,,,,,,,,,,,,,,,,
morning_afternoon,morning,afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shipping_type,in-store,instore,mail,,,,,,,,,,,,,,,,,,,,,,,,,,,
internet_box,internet,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_facilitator,Mastercard,Visa,Maestro,RuPay,Contactless,,,,,,,,,,,,,,,,,,,,,,,,,
connectivity_status,online,offline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
voice_assistant,Alexa,Google Assistant,Siri,Cortana,Bixby,,,,,,,,,,,,,,,,,,,,,,,,,
unlimited_phone_plan,Mint Mobile Unlimited,Visible Unlimited,Metro Unlimited,AT&T Unlimited Extra,T-Mobile Magenta,Verizon Do More Unlimited,,,,,,,,,,,,,,,,,,,,,,,,
speaker_setting,on,low,stereo,personal,standard,digital,fixed,,,,,,,,,,,,,,,,,,,,,,,
smart_tv_model,Signature,Quantum X,Master Series,Signature ZX,The Frame,,,,,,,,,,,,,,,,,,,,,,,,,
tv_model.1,CX,Q80,P Series,Q90,,,,,,,,,,,,,,,,,,,,,,,,,,
file_device,laptop,hard drive,phone,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_method,debit card,credit card,check,,,,,,,,,,,,,,,,,,,,,,,,,,,
film_show_title,Blade Runner 2049,Parks and Recreation,Arrested Development,Community,Office Space,28 Days Later,,,,,,,,,,,,,,,,,,,,,,,,
generic_model,o7erMSDx1o,SzaLnOidHd,uWThxb4tM9,g7VolcogBZ,STfcLmSNY8,G4DZUFtR81,LZVP6T1000,oSlUD8QjDW,6ffnf0fMq6,FS2y2cshmT,,,,,,,,,,,,,,,,,,,,
data_plan,pre-paid,unlimited,pre paid,mix & match,unlimited plus,,,,,,,,,,,,,,,,,,,,,,,,,
remote_status.1,broken,not working,faulty,not changing the volume,not changing channels,,,,,,,,,,,,,,,,,,,,,,,,,
remote_brands,logitech,bose,roku,RCA,,,,,,,,,,,,,,,,,,,,,,,,,,
retailer,Walmart,Walgreens,Kroger,Target,Costco,,,,,,,,,,,,,,,,,,,,,,,,,
reward_type,gift cards,airmiles,discount codes,,,,,,,,,,,,,,,,,,,,,,,,,,,
smtp,Mail.airmail.net,Smtp.1and1.com,Smtp.aol.com,Outbound.att.net,Smtpauths.bluewin.ch,Mail.btconnect.tom,Smtp.comcast.net,Smtp.gmail.com,,,,,,,,,,,,,,,,,,,,,,
virus,Kapersky,Norton,Avira,Webroot,Trend,,,,,,,,,,,,,,,,,,,,,,,,,
home_system_software,soundtap,Seeed Studio,Bose Home Speaker 500,,,,,,,,,,,,,,,,,,,,,,,,,,,
one_ten_range,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,
one_ten_day_range,one day,two days,three days,four days,five days,six days,seven days,eight days,nine days,ten days,,,,,,,,,,,,,,,,,,,,
one_ten_year_range,one year,two years,three years,four years,five years,six years,seven years,eight years,nine years,ten years,,,,,,,,,,,,,,,,,,,,
one_twelve_month_range,one month,two months,three months,four months,five months,six months,seven months,eight months,nine months,ten months,eleven months,twelve months,,,,,,,,,,,,,,,,,,
one_twelve_hour_range,one hour,two hours,three hours,four hours,five hours,six hours,seven hours,eight hours,nine hours,ten hours,eleven hours,twelve hours,,,,,,,,,,,,,,,,,,
one_three_year_range,one year,two years,three years,,,,,,,,,,,,,,,,,,,,,,,,,,,
gb_amount_range,100 gb,200 gb,500 gb,1000 gb,,,,,,,,,,,,,,,,,,,,,,,,,,
mbps_range,25.0,50.0,100.0,200.0,300.0,500.0,150.0,75.0,250.0,350.0,475.0,625.0,,,,,,,,,,,,,,,,,,
minutes_calling,100.0,200.0,300.0,400.0,500.0,600.0,700.0,800.0,900.0,1000.0,,,,,,,,,,,,,,,,,,,,
user_age,18.0,20.0,25.0,33.0,42.0,51.0,28.0,34.0,56.0,44.0,20.0,31.0,39.0,43.0,,,,,,,,,,,,,,,,
conference_participant_count,30.0,50.0,100.0,200.0,220.0,180.0,170.0,250.0,80.0,120.0,,,,,,,,,,,,,,,,,,,,
number_range_one_fifty,10.0,30.0,20.0,50.0,40.0,35.0,13.0,15.0,23.0,32.0,60.0,,,,,,,,,,,,,,,,,,,
number_range_one_ten,one,two,three,four,five,six,seven,eight,nine,ten,,,,,,,,,,,,,,,,,,,,
satellite_error_code,1012.0,412.0,211.0,4578.0,23412.0,12333.0,67894.0,1231.0,3589.0,44226.0,43.0,788.0,212.0,,,,,,,,,,,,,,,,,
text_msg_rate,100.0,300.0,500.0,600.0,1000.0,250.0,3000.0,500.0,800.0,1200.0,,,,,,,,,,,,,,,,,,,,
home_sq_ft,800.0,900.0,1000.0,1100.0,1200.0,1300.0,1500.0,600.0,700.0,850.0,,,,,,,,,,,,,,,,,,,,
one_thirty_day_range,one day,two days,three days,four days,five days,six days,seven days,eight days,nine days,ten days,eleven days,twelve days,thirteen days,fourteen days,fifteen days,sixteen days,seventeen days,eighteen days,nineteen days,twenty days,twenty one days,twenty two days,twenty three days,twenty four days,twenty five days,twenty six days,twenty seven days,twenty eight days,twenty nine days,thirty days
number_childen,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
time_recording,30 mins,60 mins,120 mins,two hours,one hour,half an hour,,,,,,,,,,,,,,,,,,,,,,,,
